10000 46550
1 680 100009
1 2296 540292
1 4103 295511
1 5823 410248
1 6434 419842
1 6886 624772
1 7123 327871
1 9052 3666
1 9843 288397
2 1190 170715
2 1932 191545
2 2078 973613
2 2109 552435
2 3510 644025
2 3845 10427
2 4896 142344
2 5287 649342
2 5433 559901
2 6842 470393
2 7701 205602
2 8893 679982
2 9079 773062
3 1851 754205
3 2150 970770
3 3890 729013
3 5397 97284
3 6903 457471
3 8213 443941
3 9080 47686
3 9351 131646
4 966 396036
4 1387 205112
4 3315 108185
4 5163 11143
4 6941 153396
4 8057 699968
4 8858 477378
4 9021 197005
4 9045 576932
4 9786 797388
5 377 688893
5 629 120038
5 1454 639474
5 3169 619100
5 4280 840803
5 4337 167146
5 5908 485520
5 7330 787756
5 9046 650564
6 1113 858031
6 1309 789911
6 3061 440362
6 3969 403779
6 5606 606004
6 6764 594426
6 7135 890051
6 8160 442408
6 9031 268499
6 9150 158322
7 1276 438731
7 2375 646843
7 2969 878876
7 3559 634313
7 5342 52475
7 6757 420165
7 7775 287678
7 9688 843380
8 1695 893368
8 2627 393201
8 2765 719306
8 4360 633166
8 6066 822469
8 6074 288180
8 7209 973969
8 8653 452217
9 291 892810
9 577 853228
9 1692 138072
9 1738 24885
9 1966 825067
9 2520 830144
9 3310 619842
9 3489 78158
9 4258 931731
9 4549 736075
9 5870 231808
9 5998 553789
9 7810 218659
9 9081 140132
9 9531 19487
10 741 912293
10 2568 262310
10 4323 100250
10 4674 980639
10 5147 509418
10 6688 4969
10 7243 429382
10 8738 288712
10 9237 475225
11 932 206545
11 2086 629052
11 2763 768969
11 2817 843952
11 3909 354507
11 5691 262637
11 7276 808426
11 8087 25895
11 8263 325060
11 8856 261167
12 18 70707
12 862 946565
12 1294 48342
12 2914 978934
12 4472 638974
12 6322 730102
12 6445 339253
12 7220 43443
12 8874 367078
12 9404 574160
13 1527 337745
13 2804 472680
13 4787 319456
13 6518 106579
13 7484 297614
13 8417 684024
13 8871 821849
13 9323 367147
14 1747 890705
14 2180 905939
14 3330 486911
14 4865 143928
14 5210 981193
14 6207 999230
14 7903 257856
14 8642 409440
15 1429 805774
15 2712 517500
15 3057 262253
15 4515 787633
15 4783 133915
15 6256 163075
15 7661 699292
15 8465 908109
15 8538 781094
15 9793 914983
16 1546 445328
16 3358 732883
16 4259 595512
16 4989 691644
16 6284 836565
16 7689 843421
16 9532 445257
16 9645 780447
17 1758 726715
17 2730 185569
17 2863 444380
17 3715 764940
17 4548 312928
17 4925 430443
17 5180 605005
17 5500 705934
17 6664 385202
17 7494 757027
17 7773 874825
17 8443 728843
17 9021 638090
18 200 426554
18 1676 540895
18 1966 270542
18 2180 188210
18 2851 444945
18 3908 957962
18 5681 902337
18 6016 260567
18 6955 625339
18 7838 868872
18 8688 298084
18 8737 60229
18 9096 926874
18 9990 919201
19 1350 166234
19 3330 435884
19 3388 550874
19 3909 980599
19 5344 626730
19 6609 996379
19 6743 615227
19 6891 118470
19 8448 87066
20 1263 999948
20 1886 564096
20 2262 718676
20 2930 4738
20 4823 995565
20 5105 407695
20 6348 122868
20 8018 957126
20 8939 484895
21 1536 36329
21 2255 470784
21 2954 271209
21 3308 859202
21 4978 237914
21 5238 187430
21 6742 462559
21 7142 611951
21 8072 605427
21 8687 281667
22 197 238301
22 1202 785774
22 2362 109030
22 3605 710436
22 5521 171241
22 7467 630244
22 7774 511081
22 9065 497515
23 511 403537
23 2202 501103
