10000 96543
1 966 593506
1 1419 113161
1 1759 52563
1 1939 656536
1 2586 112732
1 3259 416281
1 3736 121926
1 3792 234129
1 4491 962642
1 4789 231939
1 5048 534095
1 5893 885272
1 6510 642298
1 7433 414375
1 7823 382569
1 8730 370710
1 9148 481716
1 9362 833114
1 9984 135397
2 270 764477
2 935 779548
2 1884 566942
2 2836 397430
2 3472 392593
2 4195 346927
2 4394 646818
2 4513 12823
2 4943 421416
2 5684 357804
2 5837 494662
2 5896 983862
2 6323 994774
2 6747 336540
2 7138 635820
2 8018 925015
2 8658 787549
2 9564 563593
3 860 477370
3 1682 559802
3 1770 332748
3 2118 753257
3 2980 700170
3 3662 49630
3 3921 570838
3 4051 306920
3 4295 679344
3 4989 595017
3 5752 179586
3 6507 331934
3 6968 81769
3 7538 342361
3 7561 328514
3 7752 469883
3 8627 199016
3 8655 912318
3 9410 233380
3 9977 159972
4 604 725949
4 755 965789
4 830 85422
4 858 584418
4 970 677396
4 1146 591697
4 1645 96109
4 1798 948619
4 1824 972514
4 2461 189539
4 3161 237520
4 3922 901067
4 4465 424079
4 5282 533274
4 5923 109140
4 6734 968244
4 6815 245317
4 6840 740159
4 7571 16408
4 8491 742846
4 9287 121451
5 299 733907
5 689 992912
5 1618 969903
5 2163 300819
5 3113 514416
5 3689 573016
5 3995 236654
5 4175 347580
5 4465 147672
5 5203 810885
5 5951 576054
5 6208 239258
5 6988 277665
5 7513 165977
5 8321 717975
5 9179 532105
6 254 41364
6 1055 500502
6 1311 347620
6 2111 349023
6 2302 778167
6 2627 913196
6 3322 27256
6 3803 964366
6 4792 566717
6 5253 934042
6 6223 702718
6 6393 105634
6 6631 523146
6 7068 17212
6 7420 641893
6 7852 586955
6 8452 32237
6 8900 517860
6 9100 292603
6 9974 572746
7 557 485937
7 1365 573805
7 2130 368173
7 2271 808481
7 2900 382183
7 3346 50698
7 4046 258431
7 4977 778845
7 5192 883494
7 5384 10107
7 6305 938498
7 6360 417509
7 7302 760266
7 7358 834896
7 7845 402801
7 8498 690041
7 9227 309464
7 9416 130497
8 338 455326
8 946 126864
8 1713 76305
8 2272 350198
8 2855 677755
8 3615 342428
8 3910 761219
8 4607 967792
8 4876 145205
8 4957 247534
8 5214 344977
8 5230 894409
8 6207 597408
8 6693 76441
8 7638 946334
8 8406 122278
8 9057 328732
8 9542 493422
8 9570 664399
9 972 342149
9 1694 206390
9 2485 355940
9 2567 855583
9 2771 595639
9 2782 607089
9 3025 226987
9 3126 981651
9 4086 111860
9 4218 586752
9 5018 227466
9 5533 644429
9 5645 702246
9 6554 638885
9 7176 74307
9 8019 3940
9 8819 593569
9 9492 820594
10 117 192524
10 173 772745
10 704 432496
10 1039 817869
10 1631 874337
10 2455 58804
10 2920 914927
10 3519 899282
10 3957 709028
10 4698 507035
10 4982 199978
10 4986 709591
10 5802 650943
10 6540 308736
10 7504 979331
10 8088 71074
10 8287 599995
10 8449 279085
10 8931 736500
10 9876 979430
11 132 554581
11 776 340047
11 951 698277
11 1783 844554
11 1797 651867
11 2631 942991
11 2849 189424
11 3003 466161
11 3160 483242
11 3280 843839
11 3453 947545
11 3838 890519
11 4540 327469
11 4888 44201
11 5298 935129
11 5674 849534
11 6375 454024
11 7299 108880
11 7591 850760
11 8016 411661
11 8634 433262
11 9629 317839
11 9658 45505
12 549 528742
12 1363 363728
12 1625 124358
12 1733 709780
12 1788 255929
12 1911 992607
12 2245 84252
12 2576 46219
12 3524 134354
12 3662 199179
12 4655 602897
12 5607 731006
12 6469 618565
12 6817 456053
12 7407 680204
12 7798 277482
12 8735 449561
12 8936 544554
12 9846 569665
13 330 825589
13 1130 31275
13 1400 4051
13 2001 584840
13 2347 362306
13 2672 809877
13 3319 972574
13 4143 929004
13 4574 97388
13 4921 566835
13 5246 727551
13 5820 165159
13 6655 289134
13 7362 997389
13 7753 892371
13 7814 418063
13 8117 687864
13 8799 256576
13 9057 677286
13 9816 302608
14 98 628832
14 1032 183657
14 1683 682937
14 2118 721390
14 2749 861270
14 2812 974181
14 3651 290573
14 4015 989972
14 4290 457104
14 5000 21998
14 5160 303773
14 5456 913024
14 5906 29224
14 6183 463087
14 7161 940236
14 7531 598065
14 7942 289307
14 8655 709417
14 8890 76152
14 9041 735222
14 9806 556217
15 618 363137
15 727 660926
15 1134 142564
15 1765 998404
15 2485 366755
15 2533 797095
15 3085 800271
15 3804 131991
15 4400 891307
15 4756 301661
15 5469 473015
15 6190 686130
15 6787 192224
15 7063 696818
15 8047 705844
15 8607 800590
15 9579 608024
16 746 750584
16 1236 76486
16 1887 407596
16 2416 431745
16 2912 164151
16 3723 208486
16 4465 274117
16 4654 169402
16 5480 865203
16 5951 453307
16 6747 477694
16 7325 523613
16 7999 308773
16 8519 440615
16 9259 570544
16 9729 939473
17 328 15954
17 449 383258
17 1279 420217
17 2028 543980
17 2051 668234
17 2769 593492
17 3188 97471
17 3501 925621
17 4438 813971
17 5202 860631
17 6098 308729
17 6750 725668
17 6994 941266
17 7749 358139
17 7832 75579
17 8789 851749
17 9666 700433
18 724 120645
18 1471 48038
18 1487 362981
18 2238 33507
18 2985 73573
18 3152 381719
18 3658 208137
18 4137 833488
18 4517 475559
18 4652 867047
18 4802 791752
18 5599 137641
18 5782 78727
18 6375 35931
18 6974 550026
18 7899 674309
18 7913 965676
18 8603 143385
18 9603 698444
19 117 772012
19 518 199168
19 1383 811889
19 2025 578352
19 2289 841552
19 3123 820310
19 3821 736938
19 4275 242338
19 4391 418533
19 5317 473398
19 5444 158303
19 5763 295787
19 6076 226346
19 6548 488697
19 7241 749267
19 8169 405146
19 8792 269332
19 9097 782491
19 9310 970303
19 9497 550832
20 392 887490
20 935 75661
20 1226 158880
20 1350 645823
20 1504 986522
20 2450 925456
20 2638 563084
20 2754 989885
20 3306 792165
20 3879 363170
20 4319 499070
20 5107 276123
20 5477 699631
20 6160 73672
20 6325 424515
20 7191 431892
20 8187 318412
20 8732 55642
20 9368 20672
20 9825 277145
21 775 718948
21 1499 531837
21 1911 760608
21 2647 814576
21 3175 25258
21 3538 353597
21 3579 97485
21 3894 642023
21 4410 563338
21 4593 912030
21 4792 167075
21 5165 799963
21 6132 312366
21 7078 727990
21 7896 587090
21 8419 498927
21 8448 538602
21 8556 328444
21 8758 209199
21 9121 670085
21 9569 480729
21 9595 176845
22 362 818863
22 435 593029
22 829 10454
22 1053 753820
22 1227 874538
22 2009 579539
22 2488 189123
22 3193 771568
22 3834 608631
22 4426 979243
22 5160 406036
22 5952 364933
22 6698 981228
22 7426 578827
22 7675 292572
22 8055 550944
22 8834 771808
22 9151 214528
22 9756 218544
23 801 93077
23 1273 661668
23 2176 618594
23 2544 565470
