5000 28408
1 2 2415
1 855 4416
1 1497 3676
1 2336 5201
1 3117 2295
1 3478 2070
1 3666 5488
1 4385 3261
1 4860 3359
2 3 700
2 373 9745
2 1213 5878
2 1833 5524
2 2643 6257
2 2963 9768
2 3269 2227
2 3443 1514
2 4077 2171
2 4259 2828
2 4623 966
2 4737 9080
2 4765 5657
3 4 5102
3 914 9038
3 1718 2817
3 1799 530
3 2705 7277
3 3456 7529
3 4248 4564
3 4378 9467
3 4701 2439
3 4738 2853
4 5 4674
4 20 5481
4 513 8734
4 1304 8963
4 2110 5822
4 2721 2368
4 2988 3524
4 3737 2074
4 4422 3834
5 6 1594
5 460 1701
5 926 6601
5 1183 5599
5 1594 6935
5 1975 451
5 2754 4681
5 2870 4798
5 3023 8964
5 3546 2947
5 4464 7684
5 4576 2533
5 4620 2382
6 7 4148
6 807 5088
6 1132 9750
6 1157 1782
6 1600 4847
6 1974 4055
6 2763 788
6 3744 1174
6 4326 764
6 4524 2701
7 8 8706
7 17 1783
7 1014 5930
7 1473 3112
7 2279 5858
7 3117 7210
7 4114 8993
7 4755 4326
8 9 1670
8 460 6532
8 968 7181
8 1546 3300
8 1858 1563
8 2675 1898
8 3345 9370
8 3935 578
8 4003 2602
8 4355 6068
9 10 8166
9 533 9685
9 548 7364
9 1434 4016
9 2134 1883
9 2819 1438
9 3715 7139
9 4028 2759
9 4339 4895
9 4741 8627
10 11 3223
10 527 1474
10 1463 1461
10 1506 7007
10 1561 750
10 1627 5286
10 2535 8593
10 3497 9278
10 3797 8204
10 4082 1356
10 4512 7973
11 12 6329
11 116 3453
11 195 9418
11 534 1484
11 922 7495
11 972 4907
11 1932 9990
11 2292 7358
11 2632 6770
11 3084 6410
11 3131 3363
11 3477 3364
11 4109 10001
12 13 2273
12 361 4344
12 950 488
12 1614 1696
12 2547 6098
12 3005 8627
12 3579 1849
12 3693 4979
12 3793 1429
12 4105 9463
12 4236 4656
12 4812 9586
13 14 978
13 306 5110
13 639 8279
13 1093 8600
13 1636 2806
13 2571 7136
13 3208 9955
13 3383 9925
13 3427 8988
13 4323 9973
13 4504 7365
14 15 284
14 800 2611
14 890 3919
14 1148 8669
14 1996 1022
14 2986 9143
14 3109 6678
14 3523 7581
14 3792 4312
14 4522 8208
15 16 2722
15 170 9322
15 809 553
15 1110 7538
15 1628 5485
15 2522 1817
15 2634 34
15 3053 4557
15 3350 8033
15 3919 148
15 3965 5562
15 4248 1525
15 4480 3052
15 4929 7504
16 17 2182
16 72 5150
16 967 6564
16 1430 3889
16 1539 9119
16 1957 3982
16 2905 2667
16 3695 9415
16 4388 212
17 18 2993
17 606 3536
17 738 3638
17 1180 8770
17 1334 7677
17 2147 6958
17 2671 9172
17 2802 9935
17 3467 381
17 4309 1483
17 4571 6306
18 19 2035
18 298 7896
18 992 2424
18 1295 3742
18 2275 1270
18 3001 3571
18 3150 6213
18 3350 6594
18 4325 8709
18 4939 6791
19 20 2142
19 326 1144
19 746 9326
19 1615 1265
19 2415 2134
19 3330 7749
19 3842 4197
19 4478 1561
